epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
64,0.3405333333333331,1.5208770258299706,0.001,0.326,1.5208333468272377
65,0.35999999999999976,1.4989111892005114,0.001,0.34,1.5296105699637155
66,0.35519999999999996,1.5016821889639531,0.001,0.336,1.5204781882115888
67,0.3693333333333333,1.5006865008496937,0.001,0.352,1.511538666473336
68,0.3629333333333333,1.501497868162486,0.0005,0.362,1.504629796434691
69,0.36559999999999987,1.4991780545834734,0.0005,0.348,1.5130925235639365
70,0.3705333333333333,1.4950234276178662,0.0005,0.384,1.5064372251782685
71,0.3586666666666665,1.5034652584067365,0.0005,0.33,1.5358352120653822
72,0.35440000000000005,1.5051619480255913,0.0005,0.346,1.4981604121937662
73,0.35213333333333324,1.501910798134012,0.0005,0.33,1.5184061008381806
74,0.36426666666666657,1.4963696302967735,0.0005,0.344,1.520748553604452
75,0.3734666666666667,1.4877898442400224,0.0005,0.368,1.4959846340985425
76,0.3484,1.5031117377009295,0.0005,0.404,1.4749732842243999
77,0.3763999999999998,1.489518648276916,0.0005,0.358,1.5076952036773983
78,0.36173333333333324,1.5003042411187801,0.0005,0.38,1.5034707229729285
79,0.39573333333333344,1.4707584361017576,0.0005,0.348,1.5176535055867582
80,0.37786666666666685,1.4811837235603251,0.0005,0.378,1.4913835035106158
81,0.35373333333333334,1.5018882082616036,0.0005,0.376,1.492660290222495
82,0.37266666666666687,1.488792793555717,0.0005,0.35,1.5137977478545008
83,0.3558666666666664,1.5036263605882925,0.0005,0.388,1.475617288737397
84,0.37373333333333325,1.487924882065422,0.0005,0.35,1.5110038670129986
85,0.37986666666666674,1.4859729666321935,0.0005,0.426,1.4717781072061842
86,0.36773333333333336,1.494241489282461,0.0005,0.384,1.4722460081652433
87,0.3782666666666667,1.4878849449424683,0.0005,0.378,1.4784235372299162
88,0.3707999999999998,1.4895907642099524,0.0005,0.362,1.5135725680377952
89,0.3748000000000002,1.4909179312718612,0.0005,0.348,1.5112324385415592
90,0.384,1.480577720256639,0.0005,0.354,1.5422852915738727
91,0.38093333333333335,1.4852612673005356,0.0005,0.33,1.5205250761176632
92,0.3867999999999997,1.4782463970921071,0.0005,0.35,1.515027575590903
93,0.3738666666666666,1.4937861009874092,0.0005,0.352,1.5052295946124157
94,0.36920000000000003,1.4902225363408794,0.0005,0.354,1.50078690606889
95,0.3728,1.4882660348700307,0.0005,0.37,1.4911778440530286
96,0.38506666666666656,1.4800502994898705,0.0005,0.384,1.4873066871550527
97,0.37066666666666653,1.489700387233191,0.0005,0.368,1.4832518886111934
98,0.39746666666666663,1.4733406959076256,0.0005,0.35,1.492795905057752
99,0.3868000000000001,1.484508694997415,0.0005,0.41,1.465495935253444
100,0.3929333333333334,1.4733322920705418,0.0005,0.388,1.4935112279896585
101,0.3989333333333333,1.4743272637177107,0.0005,0.396,1.4734077188747956
102,0.38613333333333316,1.4800821835284994,0.0005,0.384,1.4844885089058544
103,0.3893333333333333,1.4777855200336683,0.0005,0.382,1.4731903658444485
104,0.37439999999999996,1.4880088038192352,0.0005,0.388,1.4660619399009043
105,0.36639999999999995,1.500006709870511,0.0005,0.372,1.4863760201104412
106,0.4006666666666666,1.464653039503049,0.00025,0.394,1.4793460688244335
107,0.39760000000000006,1.471316516332266,0.00025,0.368,1.4873089211091588
108,0.3912,1.4725294567153375,0.00025,0.384,1.4794649944315346
109,0.39239999999999986,1.4738957175487588,0.00025,0.352,1.4776718421766322
110,0.3884000000000001,1.471288869585513,0.00025,0.412,1.466857431815302
111,0.38333333333333336,1.4789832292662846,0.00025,0.404,1.461397690206063
112,0.39613333333333356,1.4636566243777884,0.00025,0.38,1.468863595200933
113,0.39813333333333323,1.4591266973168973,0.00025,0.378,1.4888420046015716
114,0.39026666666666654,1.4731803684134919,0.00025,0.358,1.4876861204709404
115,0.4055999999999999,1.4518242736128422,0.00025,0.39,1.4753342050193587
116,0.40146666666666675,1.4617847580132337,0.00025,0.374,1.4913091227025195
117,0.40146666666666675,1.4637722333619831,0.00025,0.36,1.4887334730211044
118,0.38786666666666675,1.4710681325802577,0.00025,0.372,1.4700498907095765
119,0.39226666666666676,1.4674816632933132,0.00025,0.382,1.467215108511436
120,0.41946666666666665,1.4462533939339985,0.00025,0.386,1.4554969130287847
121,0.38026666666666664,1.4727933063844219,0.00025,0.392,1.4634478476867974
