epoch,categorical_accuracy,loss,lr,val_5-shot_5-way_acc,val_loss
1,0.27986666666666665,12.824988720023807,0.001,0.27,12.619342958560024
2,0.27866666666666673,9.232301369302014,0.001,0.264,4.064975377358361
3,0.2682666666666667,6.178265881853287,0.001,0.226,3.081697720584847
4,0.25906666666666667,4.201288737735785,0.001,0.276,2.2072327497022313
5,0.28240000000000004,3.5842093273901634,0.001,0.31,1.8961118457989878
6,0.2764000000000001,3.3134121036676816,0.001,0.354,1.674304901822658
7,0.27933333333333327,2.5886669552175725,0.001,0.314,1.5403930772391017
8,0.2845333333333334,1.640573596786234,0.001,0.34,1.557763687153837
9,0.3042666666666666,1.556166281098957,0.001,0.374,1.5401579451095144
10,0.3102666666666667,1.5538860431539765,0.001,0.368,1.525181715514107
11,0.30933333333333324,1.552150441960732,0.001,0.324,1.550308923432269
12,0.32120000000000004,1.5504580552246825,0.001,0.334,1.5296673180736853
13,0.3057333333333332,1.5609636700317022,0.001,0.35,1.544565581397155
14,0.3215999999999999,1.550691790911394,0.001,0.374,1.522280107823352
15,0.33240000000000003,1.5290843632764146,0.001,0.382,1.504081803045858
16,0.3138666666666666,1.5470303488078352,0.001,0.39,1.5210424383002907
17,0.33666666666666645,1.5320274083206085,0.001,0.4,1.5143977150617831
18,0.3435999999999999,1.527212826367192,0.001,0.366,1.4702686200909734
19,0.3354666666666667,1.5323541312928186,0.001,0.402,1.5030370134888202
20,0.32919999999999994,1.5282744103411148,0.001,0.422,1.5004856953908678
21,0.33906666666666657,1.5123257412567983,0.001,0.422,1.4875921591181078
22,0.32626666666666665,1.5365075474297731,0.001,0.38,1.4832488284589256
23,0.33840000000000003,1.5273892555432989,0.001,0.394,1.4692205825681002
24,0.3466666666666665,1.5049665279403377,0.001,0.394,1.461078447079551
25,0.34760000000000013,1.5072261729969376,0.001,0.392,1.4841489425425125
26,0.32599999999999985,1.570968554710084,0.001,0.39,1.4836561662762255
27,0.34986666666666666,1.528270387924264,0.001,0.378,1.47553256637518
28,0.3745333333333333,1.4896499048436538,0.001,0.42,1.4540824917626844
29,0.34826666666666656,1.5096207829467088,0.001,0.422,1.4679359248901331
30,0.3409333333333334,1.5173417115623857,0.001,0.428,1.4668629024778048
31,0.36546666666666683,1.4935295769771724,0.001,0.432,1.4453648297328752
32,0.34306666666666685,1.5127813744012786,0.001,0.426,1.4764636307089483
33,0.3602666666666666,1.4913497768673312,0.001,0.424,1.4484375765741118
