epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
46,0.3682666666666667,1.4588163005757562,0.0005,0.376,1.4510910537839328
47,0.3804,1.4481203372085103,0.0005,0.33,1.4720530237679086
48,0.3848,1.4461199464565635,0.0005,0.336,1.4607840480178482
49,0.3785333333333332,1.446977463666812,0.0005,0.358,1.460717362652995
50,0.3602666666666666,1.4758825167743428,0.0005,0.364,1.438564382023067
51,0.3815999999999999,1.4501962518599598,0.0005,0.348,1.4603800890008536
52,0.3813333333333333,1.4531062985000387,0.0005,0.386,1.4036650194268063
53,0.3781333333333334,1.450241688017151,0.0005,0.368,1.4547297208871441
54,0.3853333333333335,1.4465012426306532,0.0005,0.366,1.4906389542604526
55,0.3632,1.4765988477320797,0.0005,0.37,1.4723260543662726
56,0.38813333333333333,1.440928792495705,0.0005,0.398,1.4348714252683465
57,0.39453333333333335,1.4304462860803437,0.0005,0.35,1.4661656814842474
58,0.37506666666666666,1.4502465790252008,0.0005,0.348,1.4586715199505056
59,0.39093333333333335,1.4327839433338534,0.0005,0.342,1.4693821707599832
60,0.39239999999999975,1.4268552745990735,0.0005,0.404,1.3888071913131972
61,0.36719999999999997,1.4604823382599432,0.0005,0.374,1.4685177158936504
62,0.38306666666666656,1.440569889472748,0.0005,0.366,1.4510227151584139
63,0.39826666666666666,1.4196836945333962,0.0005,0.35,1.4545191480939454
64,0.3934666666666666,1.4280908476496108,0.0005,0.374,1.4696696565769987
65,0.39773333333333327,1.440471430083436,0.0005,0.386,1.444225485421964
66,0.4102666666666667,1.3990745610083963,0.0005,0.418,1.4043487860119805
67,0.3946666666666666,1.4219087492070672,0.0005,0.4,1.438703903373672
68,0.4056000000000002,1.4139351628578942,0.0005,0.392,1.4302728457966543
69,0.3931999999999999,1.4195161327512795,0.0005,0.39,1.4232144124764496
70,0.4206666666666667,1.3951508154757015,0.0005,0.364,1.437138878139416
71,0.3885333333333335,1.444633669603262,0.0005,0.354,1.4696874024394482
72,0.4158666666666667,1.4048204494276033,0.0005,0.398,1.4212014481529573
73,0.4011999999999999,1.422313309444464,0.0005,0.394,1.445105494926714
74,0.40773333333333334,1.3997014959454654,0.0005,0.392,1.4378640774239555
75,0.40000000000000013,1.419547769206378,0.0005,0.396,1.4005596063929542
76,0.4163999999999999,1.3983994368920996,0.0005,0.404,1.4509664934813293
77,0.42293333333333344,1.3889123345010785,0.0005,0.392,1.4110898864602908
78,0.3985333333333333,1.411825099756757,0.0005,0.39,1.3924801928964792
79,0.3992,1.4147472815153839,0.0005,0.396,1.4111947304505088
80,0.40026666666666677,1.4037876692749742,0.0005,0.368,1.4620857615930696
81,0.3951999999999999,1.4195850384717645,0.0005,0.412,1.366332189216994
82,0.3969333333333333,1.414257024294851,0.0005,0.4,1.3975543814449323
83,0.4092000000000002,1.408170641742693,0.0005,0.412,1.4198855801396293
84,0.4119999999999998,1.3958860363421375,0.0005,0.4,1.3976011237684258
85,0.4137333333333333,1.3989159972559124,0.0005,0.378,1.438366775716221
86,0.41319999999999973,1.4050422446042845,0.0005,0.394,1.400644646472495
87,0.43160000000000004,1.3767808732117093,0.00025,0.424,1.382883354481314
88,0.42253333333333304,1.3885858722375652,0.00025,0.408,1.3702078064804923
89,0.43693333333333356,1.3663223214258255,0.00025,0.394,1.4223844106987955
90,0.42239999999999983,1.3680968404553875,0.00025,0.442,1.3509701249108264
91,0.4258666666666665,1.3578879656451455,0.00025,0.4,1.4020996902506186
92,0.4287999999999997,1.3680187857740567,0.00025,0.386,1.3906153709819447
93,0.4247999999999999,1.373992151559074,0.00025,0.406,1.3712692968509
94,0.42986666666666656,1.3524672288812878,0.00025,0.42,1.3937442610661541
95,0.41866666666666674,1.3822802571334198,0.00025,0.412,1.376823056262536
96,0.4303999999999999,1.3570016372840223,0.00025,0.41,1.3683037921848968
97,0.4420000000000001,1.346154709009299,0.00025,0.43,1.361241901610582
98,0.4298666666666665,1.3766797484309918,0.00025,0.372,1.412419362402123
99,0.4330666666666665,1.3384659415591762,0.00025,0.434,1.3507776812836543
100,0.41999999999999976,1.36571453968772,0.00025,0.378,1.4341245474269293
101,0.45519999999999977,1.3243263648046628,0.00025,0.402,1.3935661829992447
102,0.43439999999999984,1.3600693249554243,0.00025,0.37,1.431467458433056
103,0.4322666666666667,1.3696299945564256,0.00025,0.404,1.4087658257767255
104,0.42773333333333347,1.3766460851670168,0.00025,0.416,1.3872922437793833
105,0.4447999999999998,1.3225292898887895,0.00025,0.404,1.3787781078155468
106,0.4246666666666668,1.368138455032672,0.00025,0.408,1.3835236392556478
107,0.44186666666666663,1.4282708989301853,0.00025,0.412,1.394007970120883
108,0.4335999999999999,1.3501517070611297,0.00025,0.38,1.4284545710481822
109,0.4292000000000001,1.358385112054239,0.00025,0.434,1.3777434479005966
110,0.45439999999999986,1.319653775216291,0.00025,0.384,1.4033045439225043
111,0.4365333333333335,1.3631226204896023,0.000125,0.42,1.3657371184363347
112,0.44306666666666666,1.3441538009494964,0.000125,0.406,1.394478817650921
113,0.4398666666666668,1.3424759517847524,0.000125,0.422,1.3522398856593238
114,0.42999999999999994,1.3698721978036668,0.000125,0.446,1.3656253773157485
115,0.4349333333333332,1.3442320299053543,0.000125,0.442,1.3632723749710804
116,0.44079999999999997,1.3493833500155394,0.000125,0.432,1.3285498303458252
117,0.42493333333333316,1.3471835034575996,0.000125,0.404,1.37281133224382
118,0.44213333333333327,1.3402234240112196,0.000125,0.434,1.3152897293487835
119,0.45799999999999996,1.3072945257524295,0.000125,0.416,1.3614769296084652
120,0.41706666666666664,1.3743629674760556,0.000125,0.444,1.3691040328751485
121,0.4515999999999996,1.319820072218103,0.000125,0.414,1.3434352220925934
122,0.43853333333333344,1.3469814038752799,0.000125,0.39,1.376181580199489
123,0.4346666666666667,1.3595538501555464,0.000125,0.426,1.3657533443982748
124,0.42546666666666655,1.350658322012344,0.000125,0.436,1.340119462933395
125,0.4390666666666665,1.3390329613155947,0.000125,0.426,1.4124157373738695
126,0.44866666666666666,1.3233719000614785,0.000125,0.466,1.3423865939290238
127,0.43266666666666687,1.3566491592172385,0.000125,0.43,1.3152567075497081
128,0.45653333333333335,1.3357470085870242,0.000125,0.424,1.3554441274749847
